Sample,TotalSH,logSH,D.Prp,Community,Previous sample
Ac_227_T5,0.172963876880728,-0.762044588833426,,A,Ac_227_T5
Ac_249_T5,0.056879108801705,-1.24504721687628,,A,Ac_249_T5
Ac_262_T5,0.301669902332044,-0.520468017313081,,A,Ac_262_T5
Ac_268_T5,0.422212931379412,-0.37446846941605,,A,Ac_268_T5
Ac_274_T5,0.105809617455687,-0.975474855759189,,A,Ac_274_T5
Ac_282_T5,0.206475523099665,-0.685131424941279,,A,Ac_282_T5
Ac_288_T5,0.193250314989944,-0.71387978952719,,A,Ac_288_T5
Ac_103_T5,0.337051901819096,-0.472303218006844,,A,Ac_103_T5
Ac_109_T5,0.112737756709208,-0.947930611155935,,A,Ac_109_T5
Ac_120_T5,0.518365882064884,-0.285363590699512,,A,Ac_120_T5
Ac_126_T5,0.244099741224086,-0.612432680988428,,A,Ac_126_T5
Ac_167_T5,0.557499598365273,-0.253755441154795,,A,Ac_167_T5
Ac_174_T5,0.644629747596269,-0.19068965706319,,A,Ac_174_T5
Ac_180_T5,0.226179906128767,-0.645545980511466,,A,Ac_180_T5
Ac_187_T5,0.563912282202302,-0.248788446226338,,A,Ac_187_T5
Ac_218_T5,0.089998369262429,-1.04576535974673,,A,Ac_218_T5
Ac_224_T5,0.263621998783286,-0.579018351469726,,A,Ac_224_T5
Ac_232_T5,0.186796932729007,-0.728630259314723,,A,Ac_232_T5
Ac_234_T5,0.11949669901789,-0.92264409152016,,A,Ac_234_T5
Ac_246_T5,0.270095717554961,-0.568482301621485,,A,Ac_246_T5
Ac_265_T5,0.894741396124479,-0.048302469114127,,A,Ac_265_T5
Ac_271_T5,0.731303752913466,-0.135902197852346,,A,Ac_271_T5
Ac_278_T5,0.542630735170341,-0.265495610985689,,A,Ac_278_T5
Ac_285_T5,0.537763100489531,-0.26940900092932,,A,Ac_285_T5
Ac_299_T5,0.025025499422766,-1.60161724674027,,A,Ac_299_T5
Ac_101_T5,0.126222645449595,-0.898862721862706,,A,Ac_101_T5
Ac_107_T5,0.225788305612171,-0.646298555500626,,A,Ac_107_T5
Ac_118_T5,0.316229238607539,-0.49999797760793,,A,Ac_118_T5
Ac_124_T5,0.370370903856221,-0.431363138596543,,A,Ac_124_T5
Ac_145_T5,0.044765858706559,-1.34905308037819,,A,Ac_145_T5
Ac_151_T5,0.137694483903386,-0.861083457406875,,A,Ac_151_T5
Ac_159_T5,0.125307326213863,-0.902023536817179,,A,Ac_159_T5
Ac_165_T5,0.290385771635873,-0.537024667074601,,A,Ac_165_T5
Ac_171_T5,0.092946391805722,-1.03176746494835,,A,Ac_171_T5
Ac_178_T5,0.117362439608742,-0.930470871407424,,A,Ac_178_T5
Ac_184_T5,0.157676839665354,-0.802232093254567,,A,Ac_184_T5
Ac_216_T5,0.160766940385272,-0.793803253375976,,A,Ac_216_T5
Ac_222_T5,0.272068657312248,-0.565321486667014,,A,Ac_222_T5
Ac_228_T5,0.356146488469704,-0.448371333351559,,A,Ac_228_T5
Ac_250_T5,0.12003630088158,-0.920687396548345,,A,Ac_250_T5
Ac_263_T5,0.428106804262091,-0.368447869502771,,A,Ac_263_T5
Ac_269_T5,0.278267180866849,-0.555538011807935,,A,Ac_269_T5
Ac_276_T5,0.242413621147763,-0.615442980945067,,A,Ac_276_T5
Ac_283_T5,0.250614652427727,-0.600993541153195,,A,Ac_283_T5
Ac_289_T5,0.281858439480406,-0.549968956888152,,A,Ac_289_T5
Ac_300_T5,0.02679379361696,-1.57196579216737,,A,Ac_300_T5
Ac_104_T5,0.152517074736628,-0.816681533046438,,A,Ac_104_T5
Ac_110_T5,0.176414698191657,-0.753465233957002,,A,Ac_110_T5
Ac_121_T5,0.193652585827268,-0.712976699540197,,A,Ac_121_T5
Ac_128_T5,0.143990214049822,-0.84166702268655,,A,Ac_128_T5
Ac_155_T5,0.061173162450449,-1.21343906733157,,A,Ac_155_T5
Ac_168_T5,0.484491302100918,-0.314714015276751,,A,Ac_168_T5
Ac_175_T5,0.196287835215884,-0.707106614624749,,A,Ac_175_T5
Ac_181_T5,0.627219653351456,-0.202580341891916,,A,Ac_181_T5
Ac_188_T5,0.528891124666238,-0.276633720825257,,A,Ac_188_T5
